dataset,stateOperator,targetState,releaseDate,userReportedLocation,rndOriginCoordinates,rndTargetCoordinates,controlCoordinates,followerCount,followingCount,accountCreationDate,accountLanguage,userDisplayName,userScreenName,userProfileDescription,userProfileUrl
GHA or NGA,RUS (IRA),USA,2020-03,African ,"7.635517781,-0.627589753","61.32966098,-160.7801082","55.757045,37.6099233",1771,1829,7/17/2019,en,,,"African my pride. 
Power To The People 💪🏾💪🏿",
GHA or NGA,RUS (IRA),USA,2020-03,,"5.056327389,-2.734237334","58.92732496,-155.0739772","55.757045,37.6099233",60,76,7/8/2019,en,,,"Racism springs from Ignorance 
Say No To Racism.",
GHA or NGA,RUS (IRA),USA,2020-03,,"8.951931555,-0.064563231","35.23792421,-92.6828439","55.757045,37.6099233",0,25,8/26/2019,en,,,,
GHA or NGA,RUS (IRA),USA,2020-03,"Accra, Ghana","6.07364885,-0.680212959","38.84587831,-107.6414339","55.757045,37.6099233",4584,4641,7/13/2019,en,,,"Black woman passionate about my root 
#BlackLivesMatter #PoliceBrutality #Racism #RacialProfiling #AllLivesMatter #RacialEquality",
GHA or NGA,RUS (IRA),USA,2020-03,Ghana,"8.608930755,-2.473252839","61.21021484,-162.9002762","55.757045,37.6099233",98,186,7/5/2019,en,,,I stand for truth and project the image of humanity.,
GHA or NGA,RUS (IRA),USA,2020-03,,"6.157397218,1.120992536","65.84536947,-161.6224417","55.757045,37.6099233",1811,4354,7/16/2019,en,,,"Campaigning To End All Forms Of Violence Against Women❗
Sharing Stories And Solutions To Improve Life For Women x Girls👭
Equality For All",
GHA or NGA,RUS (IRA),USA,2020-03,somewhere in The World,"6.042253445,0.59803928","69.1200412,-157.303703","55.757045,37.6099233",6,127,7/27/2019,en,,,man utd Glory Glory Music Art Lifestyle. You Dream I Act,
GHA or NGA,RUS (IRA),USA,2020-03,Everywhere ,"8.467503105,-1.069130203","33.59839701,-88.58953295","55.757045,37.6099233",1251,1168,9/1/2019,en,,,"We are creating awareness to eliminate barriers affecting the rights of Queer( Lesbians, bisexuals and Trans)Women through Social Media activism Globally.",
GHA or NGA,RUS (IRA),USA,2020-03,,"10.0269103,-1.784046858","68.90189709,-158.7487059","55.757045,37.6099233",13,71,2/11/2020,en,,,Beauty in Africans,
GHA or NGA,RUS (IRA),USA,2020-03,,"8.444100891,-1.795190562","36.40760606,-112.8583491","55.757045,37.6099233",66,112,8/27/2019,en,,,Passionate about my black roots,
GHA or NGA,RUS (IRA),USA,2020-03,"Florida, USA","9.9171498,-2.486731125","34.55441842,-112.9574882","55.757045,37.6099233",9345,9486,6/28/2019,en,Police Brutality🚫,AfricaMustWake,"Platform For #BLM #Racism #PoliceBrutality Commentary And Analysis // Unapologetically Black//
Help The Needy🙏",
GHA or NGA,RUS (IRA),USA,2020-03,"Massachusetts, USA","6.009301186,-2.28064825","65.3123543,-148.3372004","55.757045,37.6099233",662,1762,11/2/2019,en,,,"Law enforcement bodies enforce laws and not to break laws. Irrespective of the cause of arrest, black rights must still be respected.",
GHA or NGA,RUS (IRA),USA,2020-03,,"9.810374062,-1.518085957","30.13926307,-95.24992873","55.757045,37.6099233",2,21,8/21/2019,en,,,The endless and selfless fight for the welfare and interest of the black community runs through viens and spins. An end to race is an end to humanity.,
GHA or NGA,RUS (IRA),USA,2020-03,"Accra, Ghana","9.685654412,-0.821747364","41.68117863,-80.20691097","55.757045,37.6099233",130,190,6/12/2017,en,,,Creative Ninja,
GHA or NGA,RUS (IRA),USA,2020-03,"Brooklyn, NY","11.04097753,-0.135432249","36.54530086,-88.48353172","55.757045,37.6099233",5275,4559,7/16/2019,en,Fight Racism,AfricaThen,,
GHA or NGA,RUS (IRA),USA,2020-03,,"9.836746243,-0.378336205","33.86636277,-98.597824","55.757045,37.6099233",1491,3329,11/1/2019,en,,,"I am •An Explorer •A Writer •An Adventurer •An Activist •Single

This Page Is To Celebrate And Promote Black Culture. Black Women Deserve To Be Loved ❤❤❤",
GHA or NGA,RUS (IRA),USA,2020-03,,"10.61957246,-2.859954531","34.58318684,-109.6605478","55.757045,37.6099233",0,0,7/12/2019,en,,,,
GHA or NGA,RUS (IRA),USA,2020-03,"California, USA","7.324735239,-2.414370591","69.55189167,-150.2958269","55.757045,37.6099233",3258,4736,7/8/2019,en,,,"Young Black King. Proud to be Obibini.
#saynotoracism #HumanRights
RT pinned tweet.",
GHA or NGA,RUS (IRA),USA,2020-03,,"9.474115791,-2.432200233","34.30785009,-92.36088944","55.757045,37.6099233",14,34,10/14/2019,en,,,easy going,
GHA or NGA,RUS (IRA),USA,2020-03,,"8.54367474,0.247262795","37.35505161,-120.8211933","55.757045,37.6099233",1179,1702,12/17/2019,en,,,Activist fighting against racism and sexism,
GHA or NGA,RUS (IRA),USA,2020-03,,"8.762322912,0.348986285","45.55765405,-102.1811644","55.757045,37.6099233",95,147,11/27/2019,en,,,Living life that makes you happy is more satisfying than living to the expectations of the society. 🌈🌈🌈🌈,
GHA or NGA,RUS (IRA),USA,2020-03,Somewhere In Africa,"9.371938254,-1.083745215","44.86266671,-85.83165695","55.757045,37.6099233",12,60,7/27/2019,en,,,Savage Sex Love Life Lick Drip💫💦,
GHA or NGA,RUS (IRA),USA,2020-03,,"6.101681473,0.554668924","65.82218719,-154.227935","55.757045,37.6099233",1161,2104,10/1/2019,en,,,EBLA is a movement of people fighting to eliminate ALL FORMS of discrimination and oppression.,
GHA or NGA,RUS (IRA),USA,2020-03,,"5.715278301,-2.2426387","69.32198653,-157.5257606","55.757045,37.6099233",2693,4984,9/1/2019,en,,,"Black and Proud.
Queen of hearts.
#BlackLivesMatter
#Equality4All
✊🏿✊🏾✊🏽",
GHA or NGA,RUS (IRA),USA,2020-03,,"6.18043377,-0.036366051","47.49156232,-100.2716475","55.757045,37.6099233",49,103,7/23/2019,en,,,Musician/Song Writer/Event Planner bookings contact fmsoldiers@gmail.com/0549943897/0244739811/0541369045,
GHA or NGA,RUS (IRA),USA,2020-03,,"10.51167675,-2.11817496","43.38925656,-86.55099684","55.757045,37.6099233",0,3,9/18/2019,en,,,"Favorite color; Green
Landscaping worker
Capricorn",
GHA or NGA,RUS (IRA),USA,2020-03,,"8.534914482,4.881728763","34.43663672,-78.10379361","55.757045,37.6099233",0,0,9/15/2019,en,,,,
GHA or NGA,RUS (IRA),USA,2020-03,"Geneva, Switzerland","10.9950615,7.604924148","36.20916044,-83.31621097","55.757045,37.6099233",147,118,1/10/2020,en,,,"kindly FOLLOW Me🥰🙏🏽
❤Help make the world a better place 🚫Say NO to Discrimination 🚫",https://t.co/vF09C5JP39
