Native Domain,Extension,TLD Type,Country,Registration Date,Last Change,Expiration Date,Registered,Registrar,Domain Lock,Domain Status,DNSSEC,Root # A Records,Root A,Root # AAAA Records,Root AAAA,Root # MX Records,Root MX,ROOT # TXT RECORDS,ROOT TXT,SPF,DMARC,WWW # A Records,WWW A,WWW CNAME,Nameservers,SSL Root Active,SSL Root Provider,SSL Root Expires,SSL Root Other Names,SSL WWW Active,SSL WWW Provider,SSL WWW Expires,SSL WWW Other Names,Root HTTP Code,Has Root URLF?,Root URLF Type,Root resolves to,Root Page Title,WWW HTTP Code,Has WWW URLF?,WWW URLF Type,WWW resolves to,WWW Page Title,Registrant Email,Registrant Name,Registrant Org,Registrant Address,Registrant City,Registrant Province,Registrant Postal,Registrant Country,Registrant Phone,Admin Email,Admin Name,Admin Org,Tech Email,Tech Name,Tech Org
abilenetimes.com,com,core,gTLD,2019-08-30T15:05:43+00:00,2019-10-24T09:04:04+00:00,2020-08-30T15:05:43+00:00,TRUE,"GoDaddy.com, LLC",TRUE,"clientDeleteProhibited,clientRenewProhibited,clientTransferProhibited,clientUpdateProhibited",,1,3.213.234.4,,,5,"1 aspmx.l.google.com.,5 alt2.aspmx.l.google.com.,5 alt1.aspmx.l.google.com.,10 alt3.aspmx.l.google.com.,10 alt4.aspmx.l.google.com.",,,,,1,3.213.234.4,abilenetimes.com.,"ns-1198.awsdns-21.org.,ns-2000.awsdns-58.co.uk.,ns-274.awsdns-34.com.,ns-573.awsdns-07.net.",TRUE,Sectigo Limited,2021-01-14T23:59:59+00:00,"abilenetimes.com,www.abilenetimes.com",TRUE,Sectigo Limited,2021-01-14T23:59:59+00:00,"abilenetimes.com,www.abilenetimes.com",200,TRUE,301,https://abilenetimes.com/,Abilene Times,200,TRUE,301,https://abilenetimes.com/,Abilene Times,abilenetimes.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US,1.48062426,abilenetimes.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC",abilenetimes.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC"
abqtimes.com,com,core,gTLD,2019-09-04T20:54:47+00:00,2019-09-30T19:48:54+00:00,2020-09-04T20:54:47+00:00,TRUE,"GoDaddy.com, LLC",TRUE,"clientDeleteProhibited,clientRenewProhibited,clientTransferProhibited,clientUpdateProhibited",,1,3.219.182.20,,,5,"1 aspmx.l.google.com.,5 alt1.aspmx.l.google.com.,5 alt2.aspmx.l.google.com.,10 alt3.aspmx.l.google.com.,10 alt4.aspmx.l.google.com.",,,,,1,3.219.182.20,abqtimes.com.,"ns-1301.awsdns-34.org.,ns-1911.awsdns-46.co.uk.,ns-243.awsdns-30.com.,ns-920.awsdns-51.net.",TRUE,Sectigo Limited,2020-09-29T23:59:59+00:00,"abqtimes.com,www.abqtimes.com",TRUE,Sectigo Limited,2020-09-29T23:59:59+00:00,"abqtimes.com,www.abqtimes.com",200,TRUE,301,https://abqtimes.com/,ABQ Times,200,TRUE,301,https://abqtimes.com/,ABQ Times,abqtimes.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US,1.48062426,abqtimes.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC",abqtimes.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC"
adairmadisonnews.com,com,core,gTLD,2017-07-19T20:59:51+00:00,2019-07-20T10:57:26+00:00,2020-07-19T20:59:51+00:00,TRUE,"GoDaddy.com, LLC",TRUE,"clientDeleteProhibited,clientRenewProhibited,clientTransferProhibited,clientUpdateProhibited",,1,34.194.209.70,,,2,"10 mx.zoho.com.,20 mx2.zoho.com.",1,v=spf1 include:zoho.com ~all,v=spf1 include:zoho.com ~all,,1,34.194.209.70,adairmadisonnews.com.,"ns-1202.awsdns-22.org.,ns-1589.awsdns-06.co.uk.,ns-250.awsdns-31.com.,ns-724.awsdns-26.net.",TRUE,Sectigo Limited,2020-10-18T23:59:59+00:00,"adairmadisonnews.com,www.adairmadisonnews.com",TRUE,Sectigo Limited,2020-10-18T23:59:59+00:00,"adairmadisonnews.com,www.adairmadisonnews.com",200,TRUE,301,https://adairmadisonnews.com/,Adair Madison News,200,TRUE,301,https://adairmadisonnews.com/,Adair Madison News,,,,,,,,,,,,,,,
adamscountytimes.com,com,core,gTLD,2019-09-04T20:54:35+00:00,2019-10-24T09:04:18+00:00,2020-09-04T20:54:35+00:00,TRUE,"GoDaddy.com, LLC",TRUE,"clientDeleteProhibited,clientRenewProhibited,clientTransferProhibited,clientUpdateProhibited",,1,3.219.182.20,,,5,"1 aspmx.l.google.com.,5 alt1.aspmx.l.google.com.,5 alt2.aspmx.l.google.com.,10 alt4.aspmx.l.google.com.,10 alt3.aspmx.l.google.com.",,,,,1,3.219.182.20,adamscountytimes.com.,"ns-1396.awsdns-46.org.,ns-1630.awsdns-11.co.uk.,ns-472.awsdns-59.com.,ns-825.awsdns-39.net.",TRUE,Sectigo Limited,2021-03-02T23:59:59+00:00,"adamscountytimes.com,www.adamscountytimes.com",TRUE,Sectigo Limited,2021-03-02T23:59:59+00:00,"adamscountytimes.com,www.adamscountytimes.com",200,TRUE,301,https://adamscountytimes.com/,Adams County Times,200,TRUE,301,https://adamscountytimes.com/,Adams County Times,adamscountytimes.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US,1.48062426,adamscountytimes.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC",adamscountytimes.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC"
adareporter.com,com,core,gTLD,2019-09-04T20:54:35+00:00,2019-10-24T09:04:39+00:00,2020-09-04T20:54:35+00:00,TRUE,"GoDaddy.com, LLC",TRUE,"clientDeleteProhibited,clientRenewProhibited,clientTransferProhibited,clientUpdateProhibited",,1,3.219.182.20,,,5,"1 aspmx.l.google.com.,5 alt1.aspmx.l.google.com.,5 alt2.aspmx.l.google.com.,10 alt3.aspmx.l.google.com.,10 alt4.aspmx.l.google.com.",,,,,1,3.219.182.20,adareporter.com.,"ns-1190.awsdns-20.org.,ns-1932.awsdns-49.co.uk.,ns-32.awsdns-04.com.,ns-755.awsdns-30.net.",TRUE,Sectigo Limited,2021-03-02T23:59:59+00:00,"adareporter.com,www.adareporter.com",TRUE,Sectigo Limited,2021-03-02T23:59:59+00:00,"adareporter.com,www.adareporter.com",200,TRUE,301,https://adareporter.com/,Ada Reporter,200,TRUE,301,https://adareporter.com/,Ada Reporter,adareporter.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US,1.48062426,adareporter.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC",adareporter.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC"
aikentimes.com,com,core,gTLD,2019-08-30T15:05:21+00:00,2019-10-24T09:04:53+00:00,2020-08-30T15:05:21+00:00,TRUE,"GoDaddy.com, LLC",TRUE,"clientDeleteProhibited,clientRenewProhibited,clientTransferProhibited,clientUpdateProhibited",,1,3.212.144.110,,,5,"1 aspmx.l.google.com.,5 alt1.aspmx.l.google.com.,5 alt2.aspmx.l.google.com.,10 alt4.aspmx.l.google.com.,10 alt3.aspmx.l.google.com.",,,,,1,3.212.144.110,aikentimes.com.,"ns-1525.awsdns-62.org.,ns-1650.awsdns-14.co.uk.,ns-48.awsdns-06.com.,ns-632.awsdns-15.net.",TRUE,Sectigo Limited,2021-03-02T23:59:59+00:00,"aikentimes.com,www.aikentimes.com",TRUE,Sectigo Limited,2021-03-02T23:59:59+00:00,"aikentimes.com,www.aikentimes.com",503,TRUE,301,https://aikentimes.com/,503 Backend fetch failed,503,TRUE,301,https://aikentimes.com/,503 Backend fetch failed,aikentimes.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US,1.48062426,aikentimes.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC",aikentimes.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC"
akbusinessdaily.com,com,core,gTLD,2018-02-16T20:34:31+00:00,2020-02-17T15:40:13+00:00,2021-02-16T20:34:31+00:00,TRUE,"GoDaddy.com, LLC",TRUE,"clientDeleteProhibited,clientRenewProhibited,clientTransferProhibited,clientUpdateProhibited",,1,34.234.42.207,,,5,"1 aspmx.l.google.com.,5 alt2.aspmx.l.google.com.,5 alt1.aspmx.l.google.com.,10 alt3.aspmx.l.google.com.,10 alt4.aspmx.l.google.com.",1,v=spf1 include:_spf.google.com ~all,v=spf1 include:_spf.google.com ~all,,1,34.234.42.207,akbusinessdaily.com.,"ns-1519.awsdns-61.org.,ns-161.awsdns-20.com.,ns-1854.awsdns-39.co.uk.,ns-759.awsdns-30.net.",TRUE,Sectigo Limited,2020-05-15T23:59:59+00:00,"akbusinessdaily.com,www.akbusinessdaily.com",TRUE,Sectigo Limited,2020-05-15T23:59:59+00:00,"akbusinessdaily.com,www.akbusinessdaily.com",200,TRUE,301,https://akbusinessdaily.com/,Alaska Business Daily,200,TRUE,301,https://akbusinessdaily.com/,Alaska Business Daily,,,,,,,,,,,,,,,
akronreporter.com,com,core,gTLD,2019-06-30T20:46:41+00:00,2019-08-27T11:07:59+00:00,2020-06-30T20:46:41+00:00,TRUE,"GoDaddy.com, LLC",TRUE,"clientDeleteProhibited,clientRenewProhibited,clientTransferProhibited,clientUpdateProhibited",,1,3.218.216.245,,,5,"1 aspmx.l.google.com.,5 alt1.aspmx.l.google.com.,5 alt2.aspmx.l.google.com.,10 alt4.aspmx.l.google.com.,10 alt3.aspmx.l.google.com.",,,,,1,3.218.216.245,akronreporter.com.,"ns-1216.awsdns-24.org.,ns-1786.awsdns-31.co.uk.,ns-251.awsdns-31.com.,ns-874.awsdns-45.net.",TRUE,Sectigo Limited,2021-01-17T23:59:59+00:00,"akronreporter.com,www.akronreporter.com",TRUE,Sectigo Limited,2021-01-17T23:59:59+00:00,"akronreporter.com,www.akronreporter.com",200,TRUE,301,https://akronreporter.com/,Akron Reporter,200,TRUE,301,https://akronreporter.com/,Akron Reporter,akronreporter.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US,1.48062426,akronreporter.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC",akronreporter.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC"
albanystandard.com,com,core,gTLD,2019-09-05T20:13:25+00:00,2019-10-24T09:05:09+00:00,2020-09-05T20:13:25+00:00,TRUE,"GoDaddy.com, LLC",TRUE,"clientDeleteProhibited,clientRenewProhibited,clientTransferProhibited,clientUpdateProhibited",,1,3.212.144.110,,,5,"1 aspmx.l.google.com.,5 alt1.aspmx.l.google.com.,5 alt2.aspmx.l.google.com.,10 alt3.aspmx.l.google.com.,10 alt4.aspmx.l.google.com.",,,,,1,3.212.144.110,albanystandard.com.,"ns-1155.awsdns-16.org.,ns-1559.awsdns-02.co.uk.,ns-500.awsdns-62.com.,ns-967.awsdns-56.net.",TRUE,Sectigo Limited,2021-03-02T23:59:59+00:00,"albanystandard.com,www.albanystandard.com",TRUE,Sectigo Limited,2021-03-02T23:59:59+00:00,"albanystandard.com,www.albanystandard.com",200,TRUE,301,https://albanystandard.com/,Albany Standard,200,TRUE,301,https://albanystandard.com/,Albany Standard,albanystandard.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US,1.48062426,albanystandard.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC",albanystandard.com@domainsbyproxy.com,Registration Private,"Domains By Proxy, LLC"
albusinessdaily.com,com,core,gTLD,2018-02-16T20:34:42+00:00,2020-02-17T15:40:10+00:00,2021-02-16T20:34:42+00:00,TRUE,"GoDaddy.com, LLC",TRUE,"clientDeleteProhibited,clientRenewProhibited,clientTransferProhibited,clientUpdateProhibited",,1,34.234.42.207,,,5,"1 aspmx.l.google.com.,5 alt2.aspmx.l.google.com.,5 alt1.aspmx.l.google.com.,10 alt3.aspmx.l.google.com.,10 alt4.aspmx.l.google.com.",1,v=spf1 include:_spf.google.com ~all,v=spf1 include:_spf.google.com ~all,,1,34.234.42.207,albusinessdaily.com.,"ns-1422.awsdns-49.org.,ns-1825.awsdns-36.co.uk.,ns-411.awsdns-51.com.,ns-577.awsdns-08.net.",TRUE,Sectigo Limited,2020-05-15T23:59:59+00:00,"albusinessdaily.com,www.albusinessdaily.com",TRUE,Sectigo Limited,2020-05-15T23:59:59+00:00,"albusinessdaily.com,www.albusinessdaily.com",200,TRUE,301,https://albusinessdaily.com/,Alabama Business Daily,200,TRUE,301,https://albusinessdaily.com/,Alabama Business Daily,,,,,,,,,,,,,,,
