location,lat,lng
usa,42.626371244325945,-105.32376651258755
usa,28.80263244097982,-99.38416131733973
usa,63.861269291445275,-149.62378259473041
usa,57.28068626639343,-152.8454113386893
usa,37.13701826727592,-89.2552703845751
usa,67.49394532488219,-141.1152898143214
usa,41.47118379862151,-79.26608142445882
usa,34.4176938945059,-104.43017892219643
usa,62.76014276391528,-147.09791134353097
usa,69.73534402335403,-155.24232919516854
usa,61.45994708714407,-153.12117098240105
usa,59.765523937095594,-161.94404303277744
usa,68.00471680665186,-155.7713455180667
usa,43.59659289887283,-93.64653268605919
usa,66.67392199897283,-150.68637931618235
usa,32.70648584650183,-93.31608792915826
usa,39.244711094845314,-109.59413144939496
usa,42.962732845886364,-110.22593717448139
usa,43.37012583478173,-119.23151766752335
usa,48.44028451027437,-107.01951428491694
usa,63.80345654719338,-160.3275475903069
usa,33.723586780796374,-80.4636498961303
usa,59.18192941352688,-151.70562448965376
usa,36.8793309593145,-113.08516546116668
usa,40.41593013196922,-92.46654275338783
usa,45.779215728679674,-94.50417803959765
usa,31.716843625776068,-97.54673583057415
usa,58.454368016501924,-155.19212599852239
usa,65.17564266266713,-154.68724296604975
usa,61.737768464466726,-157.29791159607709
usa,46.30289956068481,-87.24698376716108
usa,39.17610932754816,-115.83393494997725
usa,29.94854956453991,-101.01629025926778
usa,44.4879716078694,-70.54412673153658
usa,42.225565514614274,-105.4846597858488
usa,32.96275940823455,-94.77451623806223
usa,61.47262356456362,-144.6861910699751
usa,62.75458516278466,-153.14027309681416
usa,62.975457098517865,-144.10047675282186
usa,45.829337412968215,-86.18026961820756
usa,41.10927358594371,-94.35522535976456
usa,38.796318682947,-98.03107756245163
usa,38.50248539622116,-80.05499985149771
usa,41.334450072650014,-95.02376085171572
usa,38.39351205416084,-99.11114443069489
usa,60.51298708883368,-162.68865377318662
usa,33.89651588901471,-112.73628782210606
usa,39.74942422499918,-120.15599065215187
usa,64.46716259594962,-157.48598557186835
usa,34.265205131807456,-108.03279370322656
usa,40.10790236914133,-79.50413331472568
usa,42.4245947024811,-114.3447750735249
usa,66.45496966591855,-151.42935582880958
usa,38.33592323551328,-106.54129212505319
usa,62.31334342352754,-152.80465693977203
usa,30.871003198259803,-93.39442060579589
usa,38.536618342260425,-81.57980985562033
usa,39.98873763009584,-111.98835381486558
usa,68.03180654202444,-148.04753835182467
usa,29.1036391897079,-97.70969095131085
usa,39.575267861523045,-108.60295563601612
usa,40.595400658856185,-116.32207764370736
usa,43.4469809727268,-112.63290140142303
usa,62.78086428497948,-163.88444200652543
usa,35.05372597000465,-85.1207776572041
usa,39.740803822423004,-90.1662647470299
usa,48.93450100780056,-103.89231570040612
usa,62.02748931004065,-156.5639376402654
usa,47.638201879797776,-112.6640184735015
usa,28.534530998506007,-98.27918613847783
usa,40.551694805828106,-104.8577688209103
